youtube ID, start seconds, train/test split
-Mk24ZH_zxg,347,Train
-NPu34as_OY,7,Train
-N_S8kZxh-M,152,Train
-N_dNiJ7_Ng,240,Train
-Nis-cumBYc,250,Train
-NjhRZWnryk,66,Train
-NjhRZWnryk,87,Train
-NrFtZ_xxFU,30,Train
-NromfAJyZs,30,Train
-Nt1irryFtQ,126,Train
-NxAELmUcec,53,Train
-NznnSyx0gU,107,Train
-OHG7-BI0aU,30,Train
-OI4VoCS28I,5,Train
-OI4VoCS28I,57,Train
-OOLOgPZvvE,10,Train
-OQ3KFwzLCI,288,Train
-OQ3KFwzLCI,474,Train
-ORyFN4frM0,85,Train
-OT1ajYwQcM,26,Train
-LaXovjQvDY,8,Train
-OT1ajYwQcM,154,Train
-OxoxrlzLXA,45,Train
-J4yrwZkBbM,22,Train
-NmX8eRTl60,30,Train
-NqBTK7nqUs,40,Train
-P50LAJS2NQ,16,Train
-P53lJ1ViWk,30,Train
-PFrEXbJmMU,14,Train
-PK81pz3534,30,Train
-PN3OIo-oT4,46,Train
-PN3OIo-oT4,56,Train
-PQ3JgNDAbM,40,Train
-PYr_EY1lss,201,Train
-PalzkxjilU,9,Train
-PbatBJQdUM,20,Train
-Pg4vVPs4bE,30,Train
-PjURNLAvJk,30,Train
-PoXQIZDs0c,20,Train
-PxHPtMJDkI,17,Train
-Q1yBDm5xvc,24,Train
-Q2vef--Blw,100,Train
-QCR9wtcro8,19,Train
-QDkHHg5U2s,120,Train
-QLjhPImocQ,110,Train
-QX74tUXv0g,26,Train
-QXlQ46HW6A,84,Train
-QlgGKvOyqs,62,Train
-Qr3Hzd8QsQ,30,Train
-R2kN-_12pc,30,Train
-RBs9pPhHY8,30,Train
-RNkE6BodtY,30,Train
-ROt2go3ALY,10,Train
-RP1-cUHLT8,22,Train
-RRHNdjrV98,20,Train
-Rm5UxkHqXM,30,Train
-RuSgm3I6LQ,30,Train
-Ry71a9oPlo,21,Train
-RzSvIYehkg,477,Train
-S-5z2vYtxw,10,Train
-S-TDT5oq0Q,290,Train
-SIf6epg9cU,12,Train
-SKnbdKeajU,7,Train
-SPKve6eri0,0,Train
-SWs9oP1MKQ,10,Train
-SXN997QxDc,46,Train
-SZIgJCerwI,8,Train
-S__dddErsw,110,Train
-S_vnRSWMhk,0,Train
-Sd-j0rKeKw,30,Train
-SkaeD74V8Y,30,Train
-Sn0rMoBjzM,73,Train
-SyWyev2PfI,46,Train
-T2MO0xBNwM,26,Train
-T9mK2krm2w,30,Train
-TARh4PcFzc,15,Train
-TUZB1d9ofA,163,Train
-TUZB1d9ofA,231,Train
-TYaP9KMzBA,30,Train
-TZtWSNT9Po,30,Train
-Tgu7DbTDc8,262,Train
-SyWyev2PfI,77,Train
-TjxYU8lXv4,16,Train
-Tok_g_jgE0,268,Train
-U3oyhpebSs,50,Train
-U8ZGresQoo,110,Train
-U9Iv5Lhb_c,58,Train
-UJJsEdgqMQ,11,Train
-URzO1H3bs8,30,Train
-USpijVx_aI,200,Train
-U_YyMv2njE,15,Train
-UjHThfWx_o,30,Train
-UtMMTiDFCA,30,Train
-UxUAolRV-g,17,Train
-UxUAolRV-g,32,Train
-UxlFmoVuPo,30,Train
-V-3H5lOA2k,30,Train
-V-c__N8ByM,10,Train
-VG70q026Bw,30,Train
-VNLMYTqhDA,24,Train
-VPNTD1eV5c,15,Train
-VRxLSXcnSw,108,Train
-VTAtBy_jiI,40,Train
-VZN4iUSkQk,12,Train
-Va6UCHNXzs,250,Train
-VvrEzDDDvY,0,Train
-W5PlHBxANI,86,Train
-W9ZCx9t_8s,30,Train
-WMZUwiLsok,30,Train
-WVmsxGujF0,52,Train
-WZ7izjf_Nw,25,Train
-WbYC9rEQN0,85,Train
-WbYC9rEQN0,115,Train
-Wigi5NZWPY,47,Train
-WnE2d9e69U,0,Train
-Wr1LEmgz9w,0,Train
-WwAxd-BBrs,0,Train
-WyobeAiz5Y,10,Train
-X0A3uDEbBs,1,Train
-X0E4OYFg-4,5,Train
-XIpY07w9rQ,60,Train
-XRiLbb3Syo,2,Train
-XSb0qDoql0,30,Train
-XSb0qDoql0,123,Train
-XTdxysGplA,0,Train
-XUb2wq5U7E,135,Train
-XUb2wq5U7E,228,Train
-XUtUwhOehU,65,Train
-XUtUwhOehU,108,Train
-XdqpVHyALI,69,Train
-XfecwwWE4E,74,Train
-X0E4OYFg-4,15,Train
-XxUW9gW6mc,60,Train
-Y9_yEJwFY8,150,Train
-YF84xCwVFY,102,Train
-YGyhkTItRo,189,Train
-WLJlIuYizs,44,Train
-YLfpt9BnCM,311,Train
-YLfpt9BnCM,648,Train
-Ya10J-H7H0,189,Train
-YaJMgeKDxc,70,Train
-YejbRQqhFg,242,Train
-Yep0TGjWmc,140,Train
-YmL_LVVra0,126,Train
-YmL_LVVra0,179,Train
-Yohikhl9_c,0,Train
-Yohikhl9_c,238,Train
-YpovYcGB4I,12,Train
-XdqpVHyALI,100,Train
-Z0VMUfYaSM,280,Train
-Z1ZSWDouUU,30,Train
-Z2JSzfsMZk,50,Train
-Z9rGEaiePs,30,Train
-ZHgSFU6aoQ,62,Train
-ZJqu_4zLMc,30,Train
-ZNkHRqvFmc,5,Train
-ZRub1poH_I,70,Train
-ZT5ozXg1AI,10,Train
-ZVxU_p-J38,21,Train
-ZVxU_p-J38,38,Train
-ZX5SJ6u2zw,45,Train
-ZZJOyc_8HI,3,Train
-ZeMV790MXE,10,Train
-ZiYgIPLCrA,30,Train
-ZnwfVZ3w0w,2,Train
-_G4ZYD3Vb0,0,Train
-_KYvb4aTZY,14,Train
-_doikqlNSY,30,Train
-_gaZzFfzDQ,412,Train
-_gaZzFfzDQ,517,Train
-_hO16o613A,102,Train
-_lIeDXKHEU,16,Train
-_lIeDXKHEU,26,Train
-_sjOcNkJns,20,Train
-_tfhYzNlH0,80,Train
-_umX4zgLVY,28,Train
-a-v6lel_Ko,7,Train
-a7YZ6dQWIc,256,Train
-a7YZ6dQWIc,515,Train
-aNuyRVE25c,88,Train
-aUbQi149eE,80,Train
-aY9NqOlPEI,1,Train
-aYumc8KoXg,60,Train
-ac1DBo8VzE,30,Train
-ag2m3fHOzs,10,Train
-ahgvCmiECM,30,Train
-aiMjUX6eb8,127,Train
-aioiFslo64,19,Train
-aioiFslo64,29,Train
-amYPD7RUYA,60,Train
-b_s4tL-z8k,170,Train
-b_vZ5POeYc,30,Train
-bbOvYuDhFg,72,Train
-bbOvYuDhFg,227,Train
-bgIiv3J97I,150,Train
-bivUMylF6Q,320,Train
-boTId5CDDc,28,Train
-bx0x_RcC6Q,161,Train
-bxI3HLANw0,16,Train
-bx0x_RcC6Q,213,Train
-bxI3HLANw0,70,Train
-bxu7eXtSaE,109,Train
-c6baaENcjA,204,Train
-c7BqtlAmLs,120,Train
-c7lpU-_-V8,30,Train
-c8MRzSY6BI,30,Train
-cU44hzuMJ4,140,Train
-cgr6hgQMIQ,30,Train
-cjxRKdMcgw,16,Train
-cjxRKdMcgw,52,Train
-cnIMz7PNog,77,Train
-ct58kOlLfs,30,Train
-cyY6EAgtr0,420,Train
-d053iiT2Sc,30,Train
-d1lAtyWGrM,7,Train
-d1lAtyWGrM,17,Train
-d6AbRPotBQ,77,Train
-ctJ8Ot7EgU,18,Train
-d-T8Y9-TOg,17,Train
-dSGWrwYbHc,34,Train
-dWlxtczn7E,60,Train
-dYOHMT3xN8,57,Train
-d_pQ3DyzHg,34,Train
-cnIMz7PNog,99,Train
-diPczRE_-M,8,Train
-e4lzT3PHs0,30,Train
-e6Z5AEE8NE,52,Train
-eEwPklE5Ro,0,Train
-dGkAZOk0UQ,59,Train
-dPcZHYsCa0,182,Train
-dSGWrwYbHc,48,Train
-eGm8oWybA8,107,Train
-ej17LDVOJc,22,Train
-d6AbRPotBQ,97,Train
-en-yFsmIO8,370,Train
-fGFQTGd2nA,10,Train
-fU6g_dGmAU,30,Train
-fZyL5-yk1Q,240,Train
-fg7Ay8UfRI,21,Train
-fjZl2oKZMc,32,Train
-fjt_QDTV9U,69,Train
-fjt_QDTV9U,57,Train
-fjzsmbOK7M,9,Train
-fuhtk0F6Ww,2,Train
-fvMxwMfheQ,15,Train
-g18SZ6WopQ,4,Train
-g1q0GVBY7Y,8,Train
-g9RUYvcrhE,396,Train
-gDRBVMQ9as,0,Train
-gSfPQqi6nI,30,Train
-gTHRUvyivk,30,Train
-gVuUGwKNkI,81,Train
-gXbU1fHFoc,140,Train
-gYMAfoDgu0,705,Train
-gcrp4QJl0g,236,Train
-gcrp4QJl0g,324,Train
-gdSsq-wRpY,30,Train
-gkXS0sCahM,30,Train
-gp5kXfvW5I,340,Train
-grB4LdQS0k,9,Train
-h3OMh2eVbI,165,Train
-h3OMh2eVbI,176,Train
-h8I3cqpgnA,85,Train
-h9hOj0Kt0w,6,Train
-hH8ZYxn7zg,10,Train
-hNChOqVjgY,68,Train
-hcQWwhO0_A,30,Train
-hfaIvGtCIM,170,Train
-hh1_3cqnPA,75,Train
-hhQWikJl5g,27,Train
-hiRu8Sh7Tk,30,Train
-hq-VmUz8ls,39,Train
-hq-VmUz8ls,65,Train
-hqM85LZw7c,20,Train
-huxOE8xiow,30,Train
-hy2DGtKLrs,42,Train
-hzQtnz2GuE,213,Train
-hzQtnz2GuE,240,Train
-i-7UK5k2ws,0,Train
-i9Eh8t5tFM,30,Train
-iOEk89HaG4,80,Train
-ibJ1mubE68,320,Train
-ibjrtJo9rY,30,Train
-imD3yh_zKg,52,Train
-inYhwx_oeA,330,Train
-ixUrPNPogg,98,Train
-ixUrPNPogg,116,Train
-izKYdtmUBs,6,Train
-izKYdtmUBs,17,Train
-jAT-49T4ZQ,192,Train
-jDOhnUVwug,0,Train
-jDOhnUVwug,12,Train
-jICNm6Iim8,4,Train
-jQRCubyDVU,30,Train
-jSirHVQAOk,11,Train
-jXKNLiTd4k,30,Train
-jc0RWAooVI,0,Train
-jj2tyuf6-A,80,Train
-jpvGQmpnLQ,14,Train
-jpvGQmpnLQ,28,Train
-jrOT-5qRsY,240,Train
-jwhbq9xZp8,10,Train
-jy_M41E9Xo,315,Train
-k-hxP5eWko,30,Train
-k199QGbju0,25,Train
-k1EpaXLXSQ,148,Train
-iF4a6f5PJ8,0,Train
-k7WZlfTGso,238,Train
-kDesTZ4m_M,54,Train
-kDesTZ4m_M,126,Train
-kGoHJdcdFc,374,Train
-kIcMJrkNKo,58,Train
-kIcMJrkNKo,69,Train
-kSmWhs0FuQ,26,Train
-kPDH9n0PG4,310,Train
-kUFdYpIHPU,20,Train
-kYnRodi65g,57,Train
-kYnRodi65g,73,Train
-kZVoaYYU6o,0,Train
-kewH7XGDo4,22,Train
-kjeTtDDE4I,481,Train
-kr4SUjnm88,29,Train
-ktcAshzoec,64,Train
-ktcAshzoec,100,Train
-kyvxRE42Rs,200,Train
-kyyOO-0GpU,119,Train
-lD6JjluyWU,10,Train
-lWJgyAa4Tc,90,Train
-lXGJj-NMqQ,1,Train
-lgoUAAn7D0,16,Train
-ljMNMbY8fI,30,Train
-lwNEw-ZXlQ,10,Train
-lyPnABQhCI,30,Train
-lzFXxPEM-g,40,Train
-m1hCZXy-pE,47,Train
-U5uDdxXmpc,219,Train
-dkiBLyj6wA,30,Train
-e7TXDqaJPM,30,Train
-m9Rc7K_fA8,32,Train
-mG-WxqEXpU,83,Train
-mG-WxqEXpU,59,Train
-mIg_JJe88s,30,Train
-mK5iomdOYg,8,Train
-mXdhaci_C4,28,Train
-mf_OVEWYS0,6,Train
-megk3LUqo4,10,Train
-k3PCPB2cws,301,Train
-m9Rc7K_fA8,45,Train
-n24jZadwek,48,Train
-n24jZadwek,65,Train
-nDi8Zp8Cug,50,Train
-nUTC_TgRCk,40,Train
-njgrtk9oEI,30,Train
-njqm6R9Tko,50,Train
-nkbO5QcxuE,154,Train
-npJ2J2xrJU,30,Train
-ntbsw9IoAU,23,Train
-nvJc7KvBJ8,30,Train
-oGJwGEsIiA,90,Train
-ocADGlyaHc,30,Train
-oYAbM14oPY,49,Train
-ocJHKOUoho,300,Train
-opg33-301Y,96,Train
-ovFIwvxiwI,2,Train
-pBwtbFsxJA,16,Train
-pDjix-hPlk,40,Train
-pHYUVK1JcY,134,Train
-pHYUVK1JcY,120,Train
-pL0OkEm0RQ,30,Train
-pUgeKlzeo8,200,Train
-pd7_XFFy0A,100,Train
-pfbfEOVvIU,60,Train
-q0W7yXJ6oE,40,Train
-q3Evz2tSSY,36,Train
-q3Evz2tSSY,57,Train
-qGd1JwYLbQ,49,Train
-qS2axB2Who,391,Train
-qS2axB2Who,469,Train
-qXOLFXuutk,42,Train
-qYiJpX6cHc,70,Train
-pcoDyofmLo,40,Train
-q_lAaxS2sE,266,Train
-qa3X3z0JCU,221,Train
-qa3X3z0JCU,555,Train
-qbPc4nh5ac,13,Train
-qhFjEq75Y4,30,Train
-qizkFkLQT4,19,Train
-qizkFkLQT4,42,Train
-qmhCqK-yiY,77,Train
-qxw8nbLj_0,0,Train
-rIH111gwEI,6,Train
-rOL_EV5yJY,24,Train
-rPJ7Wsc0DM,30,Train
-rU5ToWaaNo,7,Train
-rZzA3elTJ0,24,Train
-raITF50hN0,180,Train
-rdjUIVtyZg,50,Train
-rsP2-Ibml4,0,Train
-s0S97-QrFU,20,Train
-s2_oQ06RxE,430,Train
-sF7NaTEIQo,141,Train
-sTR47qIhUI,13,Train
-sYNBBl2ryQ,200,Train
-ssjNw0HCU8,81,Train
-sxwmvdgmWs,21,Train
-t4hHBgT66Y,33,Train
-t62sZrkpoE,72,Train
-t9fkovq89Y,90,Train
-tDIM9A_KOk,30,Train
-tDq_wE8XUE,1,Train
-tIE2qVG1Bc,460,Train
-tONalCF3Uk,1,Train
-tPtpv32DZw,10,Train
-tpAnI5mJzA,30,Train
-tpgnIcmP9Q,75,Train
-u-OViTO-UA,1,Train
-u8XTnRF0pE,70,Train
-uD_w-t4T2Q,230,Train
-uGHAvfqs2I,30,Train
-uIyMR9luvg,38,Train
-uJyJgQ3iys,1,Train
-uSKedzGX_M,8,Train
-uTMH1SQUpw,4,Train
-ucpKuG36aw,22,Train
-ue3k_aV6mY,30,Train
-uoMa7Qm6vs,44,Train
-usagJ-DP4Y,40,Train
-uvVa3z00rw,10,Train
-uvpT-m_d7c,172,Train
-uvpT-m_d7c,430,Train
-v07bebMyB0,0,Train
-uJyJgQ3iys,25,Train
-v7RsB3lMyg,13,Train
-vGz8SvWaV0,210,Train
-vNGqcDA6oE,20,Train
-vSNKf_nTJE,39,Train
-vUZ1sEdcgI,14,Train
-vUZ1sEdcgI,74,Train
-vYjvp4D61I,23,Train
-vYjvp4D61I,47,Train
-vZ-_4oFCzs,17,Train
-vixuXFb0qw,240,Train
-vmyjjovGXM,116,Train
-vmyjjovGXM,134,Train
-w7WfMgSBD4,47,Train
-w9OfpoUyiI,230,Train
-wHU0MVeKSQ,13,Train
-wHYt6692rw,414,Train
-uIyMR9luvg,62,Train
-wI6olbmhRA,340,Train
-waQDlsZQXc,80,Train
-wdFcFYev7A,490,Train
-wh7Q83kzTw,20,Train
-wpNzpnqZoU,241,Train
-uZbyNT5yt8,30,Train
-wvdBDsvSmc,122,Train
-x4aw7R86BI,230,Train
-x7xMm47pfc,7,Train
-x8HgXnpf0s,0,Train
-x8MSvUl8OM,9,Train
-wVKuD8AMJI,782,Train
-xJlGqmmVjA,0,Train
-xZ6PAQF2mU,505,Train
-xo5jlTs0tw,17,Train
-xo5jlTs0tw,272,Train
-xxngcclOqM,62,Train
-xxoEDu9aQg,43,Train
-xxoEDu9aQg,53,Train
-y7tnKy2Kgw,110,Train
-yBYQM4wTS8,7,Train
-yVKa-U3U2g,90,Train
-ydW3eE2rP8,359,Train
-yicwYUKKuo,304,Train
-yks9hncucc,30,Train
-ynT1tiwUNM,51,Train
-ytHvbzhYLo,140,Train
-z--VHgH4ho,30,Train
-z3AAq0FK-0,1,Train
-zBaEVfK-cM,30,Train
-zCtwbk005g,30,Train
-zF7NqHJukc,30,Train
-zXAV9pimB4,30,Train
-zZR-ps0nJY,137,Train
-zcZ5Zj2yP8,30,Train
-ziWHyk_fYQ,106,Train
-zlobk6YPw4,7,Train
-zlobk6YPw4,99,Train
-zqp_zA6m-w,139,Train
-ztsjdrEqVQ,30,Train
0-5vF6wgneo,30,Train
0-D16elwawY,25,Train
0-EsjvW8aWM,142,Train
0-Fkevc0IoA,140,Train
0-bn-Mo_4g0,450,Train
0-dwett6SGw,17,Train
-iscyPtbIYE,79,Train
0-mGoRUVHqw,150,Train
0012y1s1bJI,350,Train
003whBJovZ8,282,Train
008McBfX2O0,0,Train
009mi4HVnOI,10,Train
00B3i6mzYN8,30,Train
00H4-cKmeNg,153,Train
00PTS5izE8o,38,Train
00Pn4jJhFEo,58,Train
00Pn4jJhFEo,76,Train
00SPuXJ0ri0,77,Train
00bU2Cvyb9w,24,Train
00mD498TlhE,13,Train
00mD498TlhE,24,Train
00nQKgFqiKQ,6,Train
00pANbTPix8,30,Train
00pcp8vNf-k,315,Train
00tm1g6HAg0,51,Train
00wORCOKNHw,14,Train
00z0M1DJyAw,90,Train
0102_FBc_70,0,Train
011Z5yjq6wo,114,Train
011Z5yjq6wo,126,Train
0156oeNSmdY,158,Train
01MWUU_A6bk,190,Train
01QVhac1DGc,65,Train
01UUc-_Gd6g,34,Train
01ZhG92x1Z0,0,Train
01qfwq1SlGo,30,Train
01ucV3qaYlA,178,Train
01ucV3qaYlA,197,Train
01uvpiKI6Lw,41,Train
01uvpiKI6Lw,84,Train
01v-xdP2e5E,30,Train
01vy5cEZvbw,7,Train
01w-Ub9dLEU,70,Train
01xBB21RFnU,6,Train
01xKbbgMwFg,33,Train
01xfi2fGKkg,1,Train
024k2nxvSRI,25,Train
02Ak1eIyj3M,30,Train
02NPzNHN0ho,30,Train
02UahUjIv5A,24,Train
02WbTPZ0PK8,142,Train
02bhAIKbpqc,22,Train
02ppXwx5H1w,26,Train
02u3P99INjs,8,Train
03-DiPMGjO4,10,Train
030h_KwNm-g,3,Train
031vhuk_TIE,30,Train
039cW4DCh3c,321,Train
039cW4DCh3c,337,Train
03E_DGPKlUs,3,Train
03Gd-F85pG4,30,Train
03K8sIGyAz4,7,Train
03K8sIGyAz4,17,Train
03ZM-kRvvbE,27,Train
03bYm9hLV2Q,162,Train
03ewaD9AGZk,74,Train
03ewaD9AGZk,122,Train
03hFQ4wxzRE,87,Train
03hFQ4wxzRE,99,Train
03n5JE_0euQ,80,Train
03qcjbP10vk,33,Train
03v7NSP21i0,60,Train
04ANPuCVNjc,28,Train
04L5PnWm3SQ,53,Train
04NubBoru-w,91,Train
04TBpsFSwQ8,19,Train
04VG5xPYxFw,70,Train
04X6s6U3PCs,22,Train
04XpIynhIM0,478,Train
04_1N_55VFw,30,Train
04ePXuGQZMg,39,Train
04sf3v7xOzo,5,Train
04v-5YY4KX4,459,Train
04vaN6A0DOk,30,Train
052VMqTM4Xs,0,Train
057oMltpCUE,82,Train
05L_gImTsQg,411,Train
05T-qaB-bI0,30,Train
05W9SXQieEA,11,Train
05aWe8zJlII,30,Train
05bjJNftY98,30,Train
05fWVEnDyDA,110,Train
05je2oOzmV0,71,Train
05qWbQRObKw,60,Train
05tcLjLeBdQ,861,Train
06-g5jz-OGc,20,Train
061qqELVoEc,64,Train
05tcLjLeBdQ,885,Train
061qqELVoEc,74,Train
06JrdfCNSso,3,Train
06T1OXnb36k,81,Train
06dUsnFLU0Y,2,Train
06SduhMtp0o,10,Train
06oXkMCrCP8,1,Train
06si40RVDco,30,Train
06xRVeaLuHQ,44,Train
0744fGfQ9bA,4,Train
074YZ2PJK7M,113,Train
077TGAORyz4,328,Train
06xRVeaLuHQ,483,Train
07D1LCR-KUk,205,Train
07baX78gkB0,30,Train
07gUHrLdY_A,60,Train
07sNiNJprH0,30,Train
07tRPkQBQRg,30,Train
07v-HWmy9DY,124,Train
0813ZAMKBio,30,Train
08A9CKS5GNA,30,Train
085nkADgD5g,6,Train
08BXqvheGTc,87,Train
08G4z63PShc,12,Train
08i9TzXcBBE,140,Train
08YS73Cp8kY,30,Train
08t-EYf-nk0,100,Train
08wHVd6o5mI,16,Train
093SODmD_uw,30,Train
095CdSbYrFc,30,Train
09CxTd_olO4,30,Train
09XLqX5MkXw,30,Train
09dzay_jgNs,228,Train
09mLJftOYsc,30,Train
09nSnH52l5E,15,Train
09w2dV1HATQ,30,Train
09wyzo6kyF8,74,Train
0A37nQK0q00,83,Train
09v2x0Tf3RE,149,Train
0A37nQK0q00,134,Train
0AA5ppkU678,6,Train
0AAv0H5AdIc,8,Train
0AEJTlHIhz0,343,Train
0AMqHXDdXkA,5,Train
0AOpuD_aBgo,77,Train
0AS1ARh4tfQ,321,Train
0AfvBWHecq8,30,Train
0Am7X758-Ek,30,Train
0AxVADHkgHY,5,Train
0Az4z8Bev5Y,30,Train
0B-3DMKtUZE,0,Train
0B0C1HaElyc,21,Train
0BJeWHLuLBQ,14,Train
0BLiYNtFSjA,30,Train
0BOdLbQN36Q,30,Train
0BQX19428Qo,30,Train
0BaMj-LMg1E,20,Train
0BauNGmZtTU,250,Train
0BfxqRfOSw0,2,Train
0BhAunAiBoI,16,Train
0BhhYpDRwVY,30,Train
0BsgVozqOEY,252,Train
0BtR8WlFrgk,30,Train
0Bvv9FuLDdc,219,Train
0BwrzfzC6UE,117,Train
0BwiOU6alvQ,0,Train
0BxVlCGnnYI,30,Train
0C-5reSgR2w,20,Train
0C0ep4Z_FpU,30,Train
0C933p8gxV0,133,Train
004NnY1farU,30,Train
009GwYB4Z7k,30,Train
0-vcLH45brE,30,Train
044RhIJBsHE,20,Train
04XpIynhIM0,490,Train
04ePXuGQZMg,49,Train
06GyG4-wONQ,17,Train
08BXqvheGTc,112,Train
093SODmD_uw,48,Train
082Xop2Twaw,10,Train
0AS1ARh4tfQ,352,Train
0BhAunAiBoI,39,Train
0CEnn5iTIQ8,30,Train
0CTgEP0SIVg,10,Train
0Ca2CTVwOxs,6,Train
0CbBZ-XeZNU,250,Train
0CVnbmuZcbs,30,Train
0CnWdS9AviY,30,Train
0CrFJ3YqIbk,40,Train
0CryGG0cvG0,30,Train
0CvAFdtyVlo,23,Train
0CyDJGb0W84,27,Train
0DD7cvLptaQ,11,Train
0D2UgSiR_38,0,Train
0DGYzX1mUow,10,Train
0C9RCKWtI8Q,19,Train
0CJ210-E8yo,17,Train
0Ca2CTVwOxs,19,Train
0DD7cvLptaQ,0,Train
0DUMj2oCclY,35,Train
0DioVNaipVI,202,Train
0Dj2joeRulU,9,Train
0DjbjUvK_TU,0,Train
0DsBWQBOMc4,0,Train
0DuPGap-G1s,0,Train
0EESEzTk150,60,Train
0EGy3uycJLA,30,Train
0EJSMY5yfPs,30,Train
0EJSMY5yfPs,159,Train
0E023Q3ulLE,30,Train
0E023Q3ulLE,187,Train
0EPK7Pv_lbE,30,Train
0EUIJsiKAx0,110,Train
0EhV4zJk9V8,150,Train
0EUIJsiKAx0,57,Train
0Es7Gqf1aqc,20,Train
0F04c_rY4aw,0,Train
0ElQwNidBMQ,123,Train
0F0YvdKcUu0,60,Train
0F0lo2ICjVg,50,Train
0F0YvdKcUu0,40,Train
0FE2J7RJrco,40,Train
0FHSJnza9P8,46,Train
0FHkcy8Ue2g,149,Train
0Fym_Eo51p0,15,Train
0G0tdsD5MFo,300,Train
0G8ZGrenLtk,248,Train
0G0mSrzOZ2M,400,Train
0GCP_KV3eCs,30,Train
0GE2Nm-TlU8,30,Train
0GHQO8k2htg,0,Train
0GRnnlLlBqI,90,Train
0GRnnlLlBqI,130,Train
0GRzxYNqvjI,30,Train
0GdHIkb1EA4,64,Train
0GdHIkb1EA4,118,Train
0GhdV_OoAh8,0,Train
0Gmp0ch-edw,11,Train
0GnK7YlRlBQ,190,Train
0GnsoKRz0HE,6,Train
0H2BspDt2Hs,10,Train
0FeDthkc9Dc,20,Train
0HD2X309dlw,16,Train
0HD2X309dlw,33,Train
0HFdwoHzluM,54,Train
0HGZIQpcIGc,64,Train
0HHcZtiemS8,40,Train
0HJwDUham_A,369,Train
0H_25TF7yTM,1,Train
0HmELJ6RgG0,340,Train
0HocaaJEl9o,30,Train
0HqeYIREv8M,30,Train
0Hxth3DK480,140,Train
0I6Mlp27_gM,30,Train
0IC2LyU_OKo,30,Train
0ICKYtF-yJs,30,Train
0ICYBKffe3Q,40,Train
0INM2mJVrkA,18,Train
0INNSDdpHaA,280,Train
0IOsmq3RCSw,360,Train
0IUYX39tlGs,13,Train
0InsWYv2JB4,161,Train
0IpYF91Fdt0,80,Train
0IyXjTa_wmQ,111,Train
0J0sN1xeDZM,30,Train
0J4S4Kr8_oY,5,Train
0JE4WXw4VFs,22,Train
0JK6flOJBE8,30,Train
0JL4zZs3K38,13,Train
0JL4zZs3K38,48,Train
0JPEQNxx5VI,78,Train
0JZetKN2fMw,40,Train
0K2kaXP7ckc,16,Train
0K4QM63pY-w,30,Train
0K4twJUqc-E,15,Train
0KKo3j---_o,0,Train
0Khx9BszYuo,10,Train
0KiWCZtFvTM,44,Train
0KsRafprQgQ,18,Train
0LMhUWdtD_E,27,Train
